id,name,util,f0,v3_failed,v3_base,f_guided,delta_guided,delta_random,improvement,demote,promote
69,sys_69,0.8136363636363636,3586.8821336469005,False,628.7522015396985,712.1619172639479,-2874.7202163829525,-602.6503208251434,2272.069895557809,task0_2,task0_0
70,sys_70,0.818181818181818,412.3727702123574,False,602.2615755663952,365.8598749906678,-46.51289522168963,17.3845541010596,63.89744932274923,task2_2,task0_1
71,sys_71,0.8227272727272728,1615.4817844887855,False,777.2165446262752,1142.1974474131277,-473.28433707565773,1167.441174789326,1640.7255118649837,task1_3,task1_1
72,sys_72,0.8272727272727273,1341.6754729078013,False,-617.101940593209,4679.43682014823,3337.761347240429,1335.9219694740937,-2001.8393777663355,task0_3,task1_0
73,sys_73,0.8318181818181817,1187.0943954456582,False,380.256565311766,1549.644449651839,362.5500542061809,-107.58214768034811,-470.132201886529,task1_1,task2_2
74,sys_74,0.8363636363636363,3164.795426348662,False,-558.5917541241976,4141.19157346195,976.3961471132875,-171.62933569620526,-1148.0254828094928,task0_3,task2_0
75,sys_75,0.8409090909090908,2236.365450289129,False,-1895.901541583745,1755.490741595735,-480.87470869339404,-79.95385897567539,400.9208497177186,task2_2,task1_0
76,sys_76,0.8454545454545456,1197.0231138132278,False,408.90546659503406,856.8172820088702,-340.2058318043577,37.57138423328413,377.7772160376418,task2_1,task0_2
77,sys_77,0.85,2471.4498213109605,False,4213.674115304583,1629.1732171829324,-842.2766041280281,307.75430671693647,1150.0309108449646,task2_3,task2_1
78,sys_78,0.8545454545454545,1990.8945801739135,False,565.59157818234,1934.423059044986,-56.47152112892741,-42.44126707191513,14.030254057012279,task0_2,task0_0
79,sys_79,0.859090909090909,3145.055290434815,False,-1221.760324792572,3021.847140607593,-123.20814982722231,-533.8646777745407,-410.6565279473184,task0_3,task0_0
80,sys_80,0.8636363636363636,2828.73574598596,False,-148.8916916855374,3863.2597742647686,1034.5240282788086,-205.52189713037828,-1240.0459254091868,task1_3,task1_1
81,sys_81,0.8681818181818182,1605.3374313784864,False,3544.647964014654,466.9338454443757,-1138.4035859341107,119.23704138722614,1257.6406273213368,task2_3,task0_0
82,sys_82,0.8727272727272727,1876.2751413265669,False,-674.7002668994093,2587.365499122479,711.090357795912,455.7710847074053,-255.31927308850675,task1_3,task2_1
83,sys_83,0.8772727272727273,1631.600144519145,False,507.4115038952775,1631.600144519145,0.0,-271.24568151536863,-271.24568151536863,task2_3,task1_1
84,sys_84,0.8818181818181818,2545.402773350334,False,1314.8046249726835,2545.402773350334,0.0,94.19515734990732,94.19515734990732,task2_2,task2_1
85,sys_85,0.8863636363636362,2571.7043953384346,False,1059.5292217776553,2571.7043953384346,0.0,87.84210292802827,87.84210292802827,task1_3,task1_1
86,sys_86,0.890909090909091,2026.1254085368873,False,844.1444778280747,4424.320252940145,2398.194844403258,510.92649549115015,-1887.2683489121077,task1_3,task2_0
87,sys_87,0.8954545454545455,1856.439390763189,False,-346.80232176114936,429.2731751316207,-1427.1662156315683,308.0783889250945,1735.2446045566628,task2_2,task0_0
88,sys_88,0.8999999999999999,2167.8729827526527,False,1162.9853771826354,2167.8729827526527,0.0,-87.60911040591768,-87.60911040591768,task0_3,task1_0
